Clade,Time,2.50%,50%,97.50%
Beijing_A,1990.794862,113.8311936,195.1125749,397.8048504
Beijing_A,1991.736963,125.9423205,225.429234,457.256398
Beijing_A,1992.679064,127.8895132,252.8962413,469.2601831
Beijing_A,1993.621165,138.7345181,279.2409494,516.3817336
Beijing_A,1994.563267,156.7884522,314.1414149,591.1527148
Beijing_A,1995.505368,179.6787547,343.6752216,701.3360186
Beijing_A,1996.447469,207.028781,382.914094,784.2754766
Beijing_A,1997.38957,233.9097337,424.5404449,867.4772986
Beijing_A,1998.331672,249.593692,463.5756087,919.5848917
Beijing_A,1999.273773,278.5497972,499.3565394,946.818064
Beijing_A,2000.215874,293.8791895,518.8231514,989.1806407
Beijing_A,2001.157975,304.1096501,525.0463822,963.2065222
Beijing_A,2002.100077,308.2318216,514.8718015,894.3678821
Beijing_A,2003.042178,315.3979966,511.3537781,839.4859424
Beijing_A,2003.984279,316.1681407,494.1945291,787.8959379
Beijing_A,2004.92638,303.4706149,456.805491,755.2297721
Beijing_A,2005.868482,283.9655703,417.9541996,701.907729
Beijing_A,2006.810583,247.4416022,376.3545769,608.681003
Beijing_A,2007.752684,225.747828,348.694482,529.3262525
Beijing_A,2008.694785,228.1778191,336.7219972,505.2458793
Beijing_A,2009.636886,230.694301,336.0723385,481.9163378
Beijing_A,2010.578988,242.8481957,340.7542152,481.9465885
Beijing_A,2011.521089,257.6188716,355.4225817,486.4493936
Beijing_A,2012.46319,276.5379402,383.6255705,507.6625414
Beijing_A,2013.405291,322.0909638,436.7088967,574.9232266
Beijing_A,2014.347393,379.7964322,506.0034458,664.8075628
Beijing_A,2015.289494,440.2582485,586.7728536,774.6078842
Beijing_A,2016.231595,490.6178804,652.654237,884.8091147
Beijing_A,2017.173696,504.2348469,700.670153,1017.403961
Beijing_A,2018.115798,444.3912107,743.4606193,1212.026309
Beijing_A,2019.057899,317.5609808,786.3164755,1560.595052
Beijing_B,1992.01244,34.52223998,64.2254923,151.2945629
Beijing_B,1994.344736,48.28448815,82.63207595,160.0677142
Beijing_B,1996.677033,66.98255994,109.8024536,191.6081003
Beijing_B,1999.00933,74.29471493,126.512985,235.8591577
Beijing_B,2001.341626,86.60506362,141.7328865,242.3894619
Beijing_B,2003.673923,113.4864749,174.3460523,271.636344
Beijing_B,2006.00622,153.5438421,228.4529075,341.4382109
Beijing_B,2008.338517,222.710602,317.7911201,444.975907
Beijing_B,2010.670813,328.1984918,459.5212753,676.3003379
Beijing_B,2013.00311,401.4588204,576.187295,887.1306265
Beijing_B,2015.335407,347.2276566,522.0929491,860.7866031
Beijing_B,2017.667703,190.8211618,336.0337783,675.2188287
Beijing_C,1990.232865,287.9640547,510.2374528,1007.505245
Beijing_C,1992.522645,247.7299153,478.8598888,971.8328372
Beijing_C,1994.812425,250.9039222,424.8417826,767.7102426
Beijing_C,1997.102204,311.3327511,502.5350937,817.652716
Beijing_C,1999.391984,314.3105736,501.0003467,881.2641866
Beijing_C,2001.681763,267.0083826,394.5772176,628.8379344
Beijing_C,2003.971543,271.6617899,377.5518444,546.6912146
Beijing_C,2006.261323,318.3887186,417.6907031,544.8271893
Beijing_C,2008.551102,574.9265133,721.9719192,920.8937005
Beijing_C,2010.840882,1114.211627,1446.67782,1948.475266
Beijing_C,2013.130661,1363.322234,1847.797191,2522.286467
Beijing_C,2015.420441,1500.817586,2012.587365,2867.555656
Beijing_C,2017.71022,648.7332415,933.5496217,1468.764961
Beijing_D,1992.005085,23.68119137,49.22073385,116.492637
Beijing_D,1994.337995,30.53146273,60.06884445,130.2578444
Beijing_D,1996.670904,43.78758383,77.16765412,150.1457044
Beijing_D,1999.003814,67.27512203,113.5916076,195.7040025
Beijing_D,2001.336723,102.1788253,171.1722821,303.5708986
Beijing_D,2003.669633,134.9060033,242.331282,484.8033828
Beijing_D,2006.002543,177.9840422,321.7918707,671.2371508
Beijing_D,2008.335452,221.3767756,422.8585995,903.0807992
Beijing_D,2010.668362,243.0207893,466.4173639,1077.650251
Beijing_D,2013.001271,225.9048769,416.0806928,945.6097544
Beijing_D,2015.334181,132.977262,267.5714155,583.8174117
Beijing_D,2017.66709,55.81726905,147.814387,428.9975223
Beijing_E,1991.65046,31.46563873,69.39835985,191.4636885
Beijing_E,1994.012922,37.83286907,63.93488013,111.4649695
Beijing_E,1996.375383,55.54447435,82.73197003,131.6712535
Beijing_E,1998.737845,78.34705091,111.1832896,156.843228
Beijing_E,2001.100307,125.7270725,171.4002248,226.7571251
Beijing_E,2003.462768,229.6828771,306.6301704,415.2519602
Beijing_E,2005.82523,406.0420387,546.4505723,754.2535987
Beijing_E,2008.187692,701.8147128,953.41491,1341.74458
Beijing_E,2010.550153,974.678676,1390.188237,2073.86481
Beijing_E,2012.912615,1021.664682,1504.719998,2290.929368
Beijing_E,2015.275077,692.8491558,1004.83814,1528.69234
Beijing_E,2017.637538,414.3239914,644.7195037,1068.123586
Beijing_F,1991.605049,129.0871394,327.6449762,1351.204008
Beijing_F,1993.971295,115.9921216,274.7654642,963.3389938
Beijing_F,1996.337541,104.6963536,238.3259317,700.885069
Beijing_F,1998.703787,101.5233307,223.5601196,617.7737191
Beijing_F,2001.070033,98.61164273,193.1858248,430.1899521
Beijing_F,2003.436279,96.67642486,168.2522362,331.3147481
Beijing_F,2005.802524,86.7889795,141.487536,231.2718899
Beijing_F,2008.16877,102.3616586,152.4599308,225.1640477
Beijing_F,2010.535016,160.8256891,218.2091572,302.5644235
Beijing_F,2012.901262,260.9374339,357.9488661,507.669827
Beijing_F,2015.267508,327.1153721,475.9511519,739.7563489
Beijing_F,2017.633754,208.722594,421.7846026,832.1402227
Ural_A,1991.799212,15.47103464,45.15136594,169.5276973
Ural_A,1994.149277,15.31952821,34.17683361,90.24126333
Ural_A,1996.499343,20.06395018,34.38503858,66.32815166
Ural_A,1998.849409,28.55870592,43.20335598,68.70265729
Ural_A,2001.199474,43.29174567,59.76243982,82.56662615
Ural_A,2003.54954,74.04586935,95.63242319,126.7630709
Ural_A,2005.899606,139.5523857,175.0797297,216.518801
Ural_A,2008.249672,277.7040303,336.1228251,414.0829224
Ural_A,2010.599737,528.8272622,632.0325495,790.6993754
Ural_A,2012.949803,906.5617129,1112.30176,1350.809926
Ural_A,2015.299869,1416.311052,1826.787417,2293.393102
Ural_A,2017.649934,1583.849684,2567.337246,4096.058009
Ural_B,1990.039453,0.064486728,0.950551121,188.0062555
Ural_B,1992.036822,0.208137037,1.53103845,104.9466944
Ural_B,1994.034192,0.639589872,2.742820149,53.15400446
Ural_B,1996.031562,1.882756025,5.338308711,38.90328073
Ural_B,1998.028932,5.205884018,10.77477935,33.16705626
Ural_B,2000.026302,12.7008037,21.32886489,40.23849754
Ural_B,2002.023672,28.57282426,42.30398538,62.60391641
Ural_B,2004.021041,59.66600869,82.05010462,113.4705313
Ural_B,2006.018411,113.1190762,157.2039127,226.9822402
Ural_B,2008.015781,187.1664397,269.295753,396.318381
Ural_B,2010.013151,236.1978199,354.2258221,537.2299016
Ural_B,2012.010521,297.9057149,431.9263004,632.3452584
Ural_B,2014.007891,352.5862975,504.6832676,741.6216948
Ural_B,2016.00526,340.5061435,507.8178816,787.8428291
Ural_B,2018.00263,232.855085,451.7445409,982.3371549
Ural_C,1990.443392,0.030451469,1.147421335,531.9707988
Ural_C,1991.428612,0.02929447,1.005584298,564.6771584
Ural_C,1992.413832,0.016350454,1.004441462,421.555651
Ural_C,1993.399053,0.006140782,0.936582646,484.1183291
Ural_C,1994.384273,0.004780737,0.841784916,459.2585611
Ural_C,1995.369493,0.003830452,0.772183598,425.7413574
Ural_C,1996.354713,0.003867945,0.762994177,397.8339944
Ural_C,1997.339934,0.006017956,0.779779633,413.0904697
Ural_C,1998.325154,0.009427498,0.832092908,325.9648007
Ural_C,1999.310374,0.018957837,0.966058358,181.2372332
Ural_C,2000.295595,0.034674806,1.088884154,62.62963423
Ural_C,2001.280815,0.058574546,1.114789328,30.72257639
Ural_C,2002.266035,0.093365712,1.303603326,13.80437283
Ural_C,2003.251255,0.191050297,1.645439092,9.391907801
Ural_C,2004.236476,0.418605336,2.265039129,8.647990108
Ural_C,2005.221696,0.992239854,3.397659974,11.14554889
Ural_C,2006.206916,2.390452672,5.95863729,16.09159811
Ural_C,2007.192136,5.995245423,11.62535843,24.46250355
Ural_C,2008.177357,15.02349269,24.71724775,45.43195515
Ural_C,2009.162577,33.119462,52.14854847,101.76087
Ural_C,2010.147797,56.14845564,104.3341309,246.8208816
Ural_C,2011.133018,74.2753162,163.1724779,553.093034
Ural_C,2012.118238,72.61638263,209.2939084,946.6350007
Ural_C,2013.103458,57.35359982,224.138382,1217.153244
Ural_C,2014.088678,48.08997083,199.3407152,1029.14246
Ural_C,2015.073899,41.54282371,155.5415703,717.1368382
Ural_C,2016.059119,46.46585285,115.6694246,366.0997321
Ural_C,2017.044339,35.99421672,93.98497663,264.592873
Ural_C,2018.029559,24.98564462,72.28946719,269.2378094
Ural_C,2019.01478,6.443958273,48.29633867,350.4829864